first_name,second_name,club_name,position,cost
Fábio,Ferreira Vieira,Arsenal,Midfielder,5.5
Gabriel,Fernando de Jesus,Arsenal,Forward,7.0
Gabriel,dos Santos Magalhães,Arsenal,Defender,6.0
Kai,Havertz,Arsenal,Forward,8.0
Karl,Hein,Arsenal,Goalkeeper,4.0
Jurriën,Timber,Arsenal,Defender,5.5
Jorge Luiz,Frello Filho,Arsenal,Midfielder,5.0
Jakub,Kiwior,Arsenal,Defender,5.0
Gabriel,Martinelli Silva,Arsenal,Midfielder,7.0
Reiss,Nelson,Arsenal,Midfielder,5.0
Eddie,Nketiah,Arsenal,Forward,6.0
Ethan,Nwaneri,Arsenal,Midfielder,4.5
Martin,Ødegaard,Arsenal,Midfielder,8.5
Aaron,Ramsdale,Arsenal,Goalkeeper,4.5
David,Raya Martin,Arsenal,Goalkeeper,5.5
Declan,Rice,Arsenal,Midfielder,6.5
Bukayo,Saka,Arsenal,Midfielder,10.0
William,Saliba,Arsenal,Defender,6.0
Emile,Smith Rowe,Arsenal,Midfielder,5.5
Thomas,Partey,Arsenal,Midfielder,5.0
Kieran,Tierney,Arsenal,Defender,4.5
Tomiyasu,Takehiro,Arsenal,Defender,5.0
Leandro,Trossard,Arsenal,Midfielder,7.0
Benjamin,White,Arsenal,Defender,6.5
Oleksandr,Zinchenko,Arsenal,Defender,5.0
Álex,Moreno Lopera,Aston Villa,Defender,4.5
Cameron,Archer,Aston Villa,Forward,5.0
Leon,Bailey,Aston Villa,Midfielder,6.5
Ross,Barkley,Aston Villa,Midfielder,5.5
Enzo,Barrenechea,Aston Villa,Midfielder,5.0
Emiliano,Buendía Stati,Aston Villa,Midfielder,5.5
Matty,Cash,Aston Villa,Defender,4.5
Leander,Dendoncker,Aston Villa,Midfielder,4.5
Moussa,Diaby,Aston Villa,Midfielder,6.5
Diego Carlos,Santos Silva,Aston Villa,Defender,4.5
Lucas,Digne,Aston Villa,Defender,4.5
Lewis,Dobbin,Aston Villa,Midfielder,5.0
Jhon,Durán,Aston Villa,Forward,6.0
Joe,Gauci,Aston Villa,Goalkeeper,4.0
Kortney,Hause,Aston Villa,Defender,4.0
Samuel,Iling-Junior,Aston Villa,Midfielder,5.5
Boubacar,Kamara,Aston Villa,Midfielder,5.0
Kaine,Kesler-Hayden,Aston Villa,Defender,4.0
Ezri,Konsa Ngoyo,Aston Villa,Defender,4.5
Ian,Maatsen,Aston Villa,Defender,5.0
Filip,Marschall,Aston Villa,Goalkeeper,4.0
Emiliano,Martínez Romero,Aston Villa,Goalkeeper,5.0
John,McGinn,Aston Villa,Midfielder,5.5
Tyrone,Mings,Aston Villa,Defender,4.5
Kosta,Nedeljković,Aston Villa,Defender,4.0
Robin,Olsen,Aston Villa,Goalkeeper,4.5
Pau,Torres,Aston Villa,Defender,4.5
Jacob,Ramsey,Aston Villa,Midfielder,5.5
Morgan,Rogers,Aston Villa,Midfielder,5.0
Viljami,Sinisalo,Aston Villa,Goalkeeper,4.0
Lino,da Cruz Sousa,Aston Villa,Defender,4.0
Youri,Tielemans,Aston Villa,Midfielder,5.5
Ollie,Watkins,Aston Villa,Forward,9.0
Jaden,Philogene,Aston Villa,Midfielder,5.5
Max,Aarons,Bournemouth,Defender,4.5
Tyler,Adams,Bournemouth,Midfielder,5.0
Jaidon,Anthony,Bournemouth,Midfielder,4.5
David,Brooks,Bournemouth,Midfielder,5.0
Ryan,Christie,Bournemouth,Midfielder,5.0
Lewis,Cook,Bournemouth,Midfielder,5.0
Enes,Ünal,Bournemouth,Forward,5.5
Romain,Faivre,Bournemouth,Midfielder,5.0
Hamed,Traorè,Bournemouth,Midfielder,4.5
James,Hill,Bournemouth,Defender,4.0
Daniel,Jebbison,Bournemouth,Forward,4.5
Milos,Kerkez,Bournemouth,Defender,4.5
Justin,Kluivert,Bournemouth,Midfielder,5.5
Chris,Mepham,Bournemouth,Defender,4.5
Norberto,Murara Neto,Bournemouth,Goalkeeper,4.5
Dango,Ouattara,Bournemouth,Midfielder,5.0
Alex,Paulsen,Bournemouth,Goalkeeper,4.0
Philip,Billing,Bournemouth,Midfielder,5.0
Alex,Scott,Bournemouth,Midfielder,5.0
Antoine,Semenyo,Bournemouth,Midfielder,5.5
Marcos,Senesi,Bournemouth,Defender,5.0
Luis,Sinisterra,Bournemouth,Midfielder,5.0
Adam,Smith,Bournemouth,Defender,4.5
Dominic,Solanke-Mitchell,Bournemouth,Forward,7.5
Marcus,Tavernier,Bournemouth,Midfielder,5.5
Mark,Travers,Bournemouth,Goalkeeper,4.5
Illia,Zabarnyi,Bournemouth,Defender,4.5
Kristoffer,Ajer,Brentford,Defender,4.5
Ethan,Brierley,Brentford,Midfielder,4.5
Nathan,Collins,Brentford,Defender,4.5
Mikkel,Damsgaard,Brentford,Midfielder,5.0
Josh,Dasilva,Brentford,Midfielder,5.0
Mark,Flekken,Brentford,Goalkeeper,4.5
Rico,Henry,Brentford,Defender,4.5
Aaron,Hickey,Brentford,Defender,4.5
Vitaly,Janelt,Brentford,Midfielder,5.0
Mathias,Jensen,Brentford,Midfielder,5.5
Kim,Ji-soo,Brentford,Defender,4.0
Yunus Emre,Konak,Brentford,Midfielder,4.5
Keane,Lewis-Potter,Brentford,Midfielder,5.0
Bryan,Mbeumo,Brentford,Midfielder,7.0
Ben,Mee,Brentford,Defender,4.5
Christian,Nørgaard,Brentford,Midfielder,5.0
Frank,Onyeka,Brentford,Midfielder,5.0
Myles,Peart-Harris,Brentford,Midfielder,4.5
Ethan,Pinnock,Brentford,Defender,4.5
Mads,Roerslev Rasmussen,Brentford,Defender,4.5
Kevin,Schade,Brentford,Midfielder,5.5
Igor Thiago,Nascimento Rodrigues,Brentford,Forward,6.0
Ivan,Toney,Brentford,Forward,7.5
Hákon,Valdimarsson,Brentford,Goalkeeper,4.0
Yoane,Wissa,Brentford,Forward,6.0
Yehor,Yarmoliuk,Brentford,Midfielder,4.5
Mathias,Jorgensen,Brentford,Defender,4.5
Simon,Adingra,Brighton,Midfielder,5.5
Benicio,Baker-Boaitey,Brighton,Midfielder,4.5
Carlos,Baleba,Brighton,Midfielder,5.0
Valentín,Barco,Brighton,Defender,4.0
Facundo,Buonanotte,Brighton,Midfielder,5.0
Amario,Cozier-Duberry,Brighton,Midfielder,4.5
Mahmoud,Dahoud,Brighton,Midfielder,5.0
Lewis,Dunk,Brighton,Defender,4.5
Julio,Enciso,Brighton,Midfielder,5.5
Pervis,Estupiñán,Brighton,Defender,5.0
Evan,Ferguson,Brighton,Forward,5.5
Billy,Gilmour,Brighton,Midfielder,5.0
Pascal,Groß,Brighton,Midfielder,6.5
Jack,Hinshelwood,Brighton,Midfielder,5.0
Ibrahim,Osman,Brighton,Midfielder,5.0
Igor Julio,dos Santos de Paulo,Brighton,Defender,4.5
João Pedro,Junqueira de Jesus,Brighton,Forward,5.5
Kacper,Kozłowski,Brighton,Midfielder,4.5
Tariq,Lamptey,Brighton,Defender,4.5
Solly,March,Brighton,Midfielder,6.5
Adrian,Mazilu,Brighton,Midfielder,4.5
James,Milner,Brighton,Midfielder,5.0
Yankuba,Minteh,Brighton,Midfielder,5.5
Mitoma,Kaoru,Brighton,Midfielder,6.5
Jakub,Moder,Brighton,Midfielder,4.5
Mark,O’Mahony,Brighton,Forward,4.5
Odeluga,Offiah,Brighton,Defender,4.0
Cameron,Peupion,Brighton,Midfielder,4.5
Jeremy,Sarmiento Morante,Brighton,Midfielder,5.0
Jason,Steele,Brighton,Goalkeeper,4.5
Deniz,Undav,Brighton,Forward,5.5
Jan Paul,van Hecke,Brighton,Defender,4.5
Joël,Veltman,Brighton,Defender,4.5
Bart,Verbruggen,Brighton,Goalkeeper,4.5
Adam,Webster,Brighton,Defender,4.5
Danny,Welbeck,Brighton,Forward,5.5
Mats,Wieffer,Brighton,Midfielder,5.0
Andrey,Nascimento dos Santos,Chelsea,Midfielder,4.5
Ângelo Gabriel,Borges Damaceno,Chelsea,Midfielder,4.5
Kepa,Arrizabalaga,Chelsea,Goalkeeper,4.5
Benoît,Badiashile,Chelsea,Defender,4.5
Lucas,Bergström,Chelsea,Goalkeeper,4.0
Marcus,Bettinelli,Chelsea,Goalkeeper,4.0
Armando,Broja,Chelsea,Forward,5.5
Moisés,Caicedo Corozo,Chelsea,Midfielder,5.0
Cesare,Casadei,Chelsea,Midfielder,4.5
