first_name,second_name,club_name,position,cost
Erling,Haaland,Man City,Forward,15.0
Kevin,De Bruyne,Man City,Midfielder,9.5
Mason,Mount,Man Utd,Midfielder,6.5
Martin,Ødegaard,Arsenal,Midfielder,8.5
Mitoma,Kaoru,Brighton,Midfielder,6.5
Massimo,Luongo,Ipswich,Midfielder,4.5
Danny,Welbeck,Brighton,Forward,5.5
Evan,Ferguson,Brighton,Forward,5.5
Trent,Alexander-Arnold,Liverpool,Defender,7.0
Joško,Gvardiol,Man City,Defender,6.0
Dan,Burn,Newcastle,Defender,4.5
William,Saliba,Arsenal,Defender,6.0
Lewis,Dunk,Brighton,Defender,4.5
Nick,Pope,Newcastle,Goalkeeper,5.0
Alphonse,Areola,West Ham,Goalkeeper,4.5
