first_name,second_name,club_name,position,now_cost,points_per_game,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded
Fábio,Ferreira Vieira,Arsenal,Midfielder,5.5,2.2,24,290,1,3,1,2,0,0,0,0,1,0,0,67,82.8,88.8,85.0,25.5,2,1.25,0.64,1.89,1.83
Gabriel,Fernando de Jesus,Arsenal,Forward,7.0,3.1,85,1470,4,7,11,11,0,0,0,6,0,0,10,271,364.8,403.0,756.0,152.7,17,6.27,3.26,9.53,11.67
Gabriel,dos Santos Magalhães,Arsenal,Defender,6.0,4.1,149,3042,3,1,16,26,1,0,0,4,0,0,8,676,675.8,121.9,379.0,117.9,34,4.48,0.65,5.13,26.18
Kai,Havertz,Arsenal,Forward,8.0,4.9,180,2627,13,10,16,22,0,0,0,11,0,0,15,515,763.2,613.4,1027.0,240.2,30,12.36,3.88,16.23,21.03
Karl,Hein,Arsenal,Goalkeeper,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Jurriën,Timber,Arsenal,Defender,5.5,0.0,0,70,0,0,0,0,0,0,0,2,0,0,0,4,5.8,4.7,2.0,1.3,1,0.00,0.02,0.02,0.28
Jorge Luiz,Frello Filho,Arsenal,Midfielder,5.0,1.8,44,913,0,2,4,11,0,0,0,1,0,0,1,182,165.4,187.8,16.0,36.8,10,0.10,1.77,1.87,8.42
Jakub,Kiwior,Arsenal,Defender,5.0,3.4,67,942,1,3,6,8,0,0,0,1,0,0,1,260,228.8,106.9,90.0,42.7,11,0.74,0.60,1.34,5.15
Gabriel,Martinelli Silva,Arsenal,Midfielder,7.0,3.4,118,2010,6,5,10,23,0,0,0,1,0,0,6,404,500.4,717.1,795.0,200.8,24,6.36,5.18,11.53,14.88
Reiss,Nelson,Arsenal,Midfielder,5.0,1.1,16,256,0,0,1,1,0,0,0,1,0,0,0,58,42.8,87.7,39.0,16.9,1,0.18,0.43,0.61,2.18
Eddie,Nketiah,Arsenal,Forward,6.0,2.6,71,1065,5,4,6,10,0,0,0,3,0,0,5,206,235.0,136.3,417.0,77.2,10,4.65,0.53,5.18,10.21
Ethan,Nwaneri,Arsenal,Midfielder,4.5,1.0,1,13,0,0,0,0,0,0,0,0,0,0,0,3,2.0,12.3,4.0,1.8,0,0.00,0.05,0.05,0.13
Martin,Ødegaard,Arsenal,Midfielder,8.5,5.3,186,3098,8,11,19,23,0,0,0,2,0,0,26,703,910.4,1499.4,757.0,317.0,35,7.53,10.16,17.69,25.26
Aaron,Ramsdale,Arsenal,Goalkeeper,4.5,3.3,20,540,0,0,2,5,0,0,0,0,0,9,0,90,73.2,0.0,0.0,7.3,6,0.00,0.01,0.01,5.81
David,Raya Martin,Arsenal,Goalkeeper,5.5,4.2,135,2880,0,0,16,24,0,1,0,2,0,46,6,569,413.0,0.0,0.0,41.1,32,0.00,0.04,0.04,22.51
Declan,Rice,Arsenal,Midfielder,6.5,4.3,165,3225,7,9,17,28,0,0,0,5,0,0,17,744,959.4,745.3,451.0,215.9,37,3.53,5.09,8.62,27.08
Bukayo,Saka,Arsenal,Midfielder,10.0,6.5,226,2922,16,12,16,27,0,0,0,4,0,0,29,776,1093.8,1319.8,1342.0,375.7,35,15.40,10.90,26.29,25.66
